,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
31,1903_01_TeamNE_TeamA2,10,2.0,10,178820,6,2
64,1903_01_TeamNE_TeamA2,18,4.0,18,460212,6,2
108,1903_01_TeamNE_TeamA2,28,7.0,28,713652,6,2
148,1903_01_TeamNE_TeamA2,38,9.0,38,1092459,5,2
214,1903_01_TeamNE_TeamA2,58,13.0,58,1616896,6,2
271,1903_01_TeamNE_TeamA2,73,17.0,73,2190634,5,2
441,1903_01_TeamNE_TeamA2,117,29.0,117,3638082,6,2
453,1903_01_TeamNE_TeamA2,119,30.0,119,3794238,6,2
480,1903_01_TeamNE_TeamA2,124,32.0,124,3912312,4,2
585,1903_01_TeamNE_TeamA2,149,39.0,149,4904095,6,2
716,1903_01_TeamNE_TeamA2,185,47.0,185,6119948,4,2
777,1903_01_TeamNE_TeamA2,203,51.0,203,6590133,5,2
887,1903_01_TeamNE_TeamA2,230,60.0,231,7469914,4,2
1015,1903_01_TeamNE_TeamA2,260,68.0,261,8667386,4,2
1222,1903_01_TeamNE_TeamA2,318,81.0,319,10700815,5,2
1254,1903_01_TeamNE_TeamA2,326,84.0,327,10931419,5,2
1296,1903_16_TeamNI_TeamA3,12,3.0,12,248618,6,2
1357,1903_16_TeamNI_TeamA3,25,8.0,26,738168,6,2
1444,1903_16_TeamNI_TeamA3,46,15.0,47,1347618,4,2
1592,1903_16_TeamNI_TeamA3,82,25.0,83,2514968,5,2
1642,1903_16_TeamNI_TeamA3,96,28.0,97,2970318,6,2
1737,1903_16_TeamNI_TeamA3,121,35.0,122,3763018,3,2
1750,1903_16_TeamNI_TeamA3,124,36.0,125,3840368,3,2
1788,1903_16_TeamNI_TeamA3,132,39.0,133,4229468,5,2
1834,1903_16_TeamNI_TeamA3,141,42.0,142,4505668,6,2
1862,1903_16_TeamNI_TeamA3,147,44.0,148,4752518,4,2
1914,1903_16_TeamNI_TeamA3,162,47.0,163,5181518,5,2
1965,1903_16_TeamNI_TeamA3,177,50.0,178,5673418,4,2
2011,1903_16_TeamNI_TeamA3,188,53.0,189,5934318,6,2
2120,1903_16_TeamNI_TeamA3,219,59.0,220,6927268,4,2
2304,1903_16_TeamNI_TeamA3,268,70.0,269,8535571,6,2
2335,1903_16_TeamNI_TeamA3,276,73.0,277,8891321,6,2
2526,1902_02_TeamMG_TeamA3,43,10.0,43,1395969,3,2
2623,1902_02_TeamMG_TeamA3,68,17.0,68,2183769,4,2
2665,1902_02_TeamMG_TeamA3,79,20.0,79,2565169,6,2
2960,1902_02_TeamMG_TeamA3,161,38.0,161,5580619,6,2
3048,1902_02_TeamMG_TeamA3,185,44.0,185,6357469,4,2
3265,1902_02_TeamMG_TeamA3,249,57.0,249,8588669,5,2
3435,1902_02_TeamMG_TeamA3,296,68.0,296,10142219,4,2
3585,1902_02_TeamMG_TeamA3,337,78.0,337,11515119,5,2
3606,1902_02_TeamMG_TeamA3,341,80.0,341,11640569,4,2
3663,1902_02_TeamMG_TeamA3,354,84.0,354,12108669,4,2
3676,1902_02_TeamMG_TeamA3,356,85.0,356,12278719,4,2
3686,1902_02_TeamMG_TeamA3,358,86.0,358,12325369,5,2
3719,1903_08_TeamNJ_TeamB,4,1.0,4,80817,5,2
3808,1903_08_TeamNJ_TeamB,25,6.0,25,771367,6,2
3852,1903_08_TeamNJ_TeamB,37,9.0,37,1171817,4,2
3917,1903_08_TeamNJ_TeamB,54,13.0,55,1852267,4,2
3952,1903_08_TeamNJ_TeamB,64,15.0,65,2156517,6,2
4043,1903_08_TeamNJ_TeamB,90,23.0,91,3041067,5,2
4084,1903_08_TeamNJ_TeamB,101,27.0,102,3418567,4,2
4095,1903_08_TeamNJ_TeamB,103,28.0,104,3570417,6,2
4112,1903_08_TeamNJ_TeamB,107,29.0,108,3650617,4,2
4137,1903_08_TeamNJ_TeamB,111,32.0,112,3870567,5,2
4181,1903_08_TeamNJ_TeamB,124,36.0,125,4255267,5,2
4221,1903_08_TeamNJ_TeamB,133,39.0,134,4620267,6,2
4341,1903_08_TeamNJ_TeamB,162,49.0,163,5705067,5,2
