,game_str,play_id,ball_direction
0,1903_01_TeamNE_TeamA2,18,right
1,1903_01_TeamNE_TeamA2,38,right
2,1903_01_TeamNE_TeamA2,58,right
3,1903_01_TeamNE_TeamA2,117,right
4,1903_01_TeamNE_TeamA2,119,right
5,1903_01_TeamNE_TeamA2,185,right
6,1903_01_TeamNE_TeamA2,230,right
7,1903_01_TeamNE_TeamA2,260,right
8,1903_01_TeamNE_TeamA2,326,right
9,1903_16_TeamNI_TeamA3,25,right
10,1903_16_TeamNI_TeamA3,82,right
11,1903_16_TeamNI_TeamA3,121,right
12,1903_16_TeamNI_TeamA3,124,left
13,1903_16_TeamNI_TeamA3,141,right
14,1903_16_TeamNI_TeamA3,162,right
15,1903_16_TeamNI_TeamA3,177,left
16,1903_16_TeamNI_TeamA3,219,left
17,1903_16_TeamNI_TeamA3,276,right
18,1902_02_TeamMG_TeamA3,43,left
19,1902_02_TeamMG_TeamA3,68,right
20,1902_02_TeamMG_TeamA3,79,right
21,1902_02_TeamMG_TeamA3,161,left
22,1902_02_TeamMG_TeamA3,185,right
23,1902_02_TeamMG_TeamA3,249,right
24,1902_02_TeamMG_TeamA3,296,left
25,1902_02_TeamMG_TeamA3,337,right
26,1902_02_TeamMG_TeamA3,341,right
27,1902_02_TeamMG_TeamA3,354,left
28,1902_02_TeamMG_TeamA3,356,left
29,1902_02_TeamMG_TeamA3,358,right
30,1903_08_TeamNJ_TeamB,54,left
31,1903_08_TeamNJ_TeamB,64,left
32,1903_08_TeamNJ_TeamB,90,right
33,1903_08_TeamNJ_TeamB,101,left
34,1903_08_TeamNJ_TeamB,103,right
35,1903_08_TeamNJ_TeamB,107,right
36,1903_08_TeamNJ_TeamB,124,right
37,1903_08_TeamNJ_TeamB,171,right
38,1903_08_TeamNJ_TeamB,173,left
39,1903_08_TeamNJ_TeamB,175,left
40,1903_08_TeamNJ_TeamB,190,right
41,1903_08_TeamNJ_TeamB,192,left
42,1903_08_TeamNJ_TeamB,213,right
43,1903_08_TeamNJ_TeamB,232,left
44,1900_08_TeamKL_TeamB,186,right
45,1903_23_TeamNA_TeamA1,26,right
46,1903_23_TeamNA_TeamA1,46,right
47,1903_23_TeamNA_TeamA1,67,right
48,1903_23_TeamNA_TeamA1,110,left
49,1903_23_TeamNA_TeamA1,115,left
50,1903_23_TeamNA_TeamA1,124,left
51,1903_23_TeamNA_TeamA1,140,left
52,1903_23_TeamNA_TeamA1,196,left
53,1903_23_TeamNA_TeamA1,221,right
54,1903_23_TeamNA_TeamA1,254,left
55,1903_23_TeamNA_TeamA1,273,left
56,1902_19_TeamME_TeamA2,23,left
57,1902_19_TeamME_TeamA2,24,left
58,1902_19_TeamME_TeamA2,62,left
59,1902_19_TeamME_TeamA2,143,right
60,1902_19_TeamME_TeamA2,154,left
61,1902_19_TeamME_TeamA2,161,left
62,1902_19_TeamME_TeamA2,179,left
63,1902_19_TeamME_TeamA2,213,right
64,1902_19_TeamME_TeamA2,235,left
65,1902_19_TeamME_TeamA2,243,right
66,1902_19_TeamME_TeamA2,261,left
67,1902_19_TeamME_TeamA2,280,left
68,1901_08_TeamLK_TeamB,62,right
69,1901_08_TeamLK_TeamB,84,right
70,1901_08_TeamLK_TeamB,111,left
71,1901_08_TeamLK_TeamB,117,right
72,1901_08_TeamLK_TeamB,139,left
73,1901_08_TeamLK_TeamB,143,left
74,1901_08_TeamLK_TeamB,150,right
75,1901_08_TeamLK_TeamB,158,right
76,1901_08_TeamLK_TeamB,184,right
77,1901_08_TeamLK_TeamB,193,right
78,1901_08_TeamLK_TeamB,200,left
79,1901_08_TeamLK_TeamB,248,left
80,1902_22_TeamMA_TeamA1,75,left
81,1902_22_TeamMA_TeamA1,84,right
82,1902_22_TeamMA_TeamA1,104,left
83,1902_22_TeamMA_TeamA1,151,right
84,1902_22_TeamMA_TeamA1,155,left
85,1902_22_TeamMA_TeamA1,157,left
86,1902_22_TeamMA_TeamA1,161,right
87,1902_22_TeamMA_TeamA1,164,right
88,1902_22_TeamMA_TeamA1,182,left
89,1902_22_TeamMA_TeamA1,193,right
90,1902_22_TeamMA_TeamA1,195,right
91,1902_22_TeamMA_TeamA1,226,left
92,1902_22_TeamMA_TeamA1,249,right
93,1902_12_TeamMI_TeamA3,13,right
94,1902_12_TeamMI_TeamA3,24,left
95,1902_12_TeamMI_TeamA3,138,right
96,1902_12_TeamMI_TeamA3,174,left
97,1902_12_TeamMI_TeamA3,178,left
98,1902_12_TeamMI_TeamA3,196,right
99,1902_12_TeamMI_TeamA3,208,right
100,1902_12_TeamMI_TeamA3,260,right
101,1902_12_TeamMI_TeamA3,266,right
102,1903_11_TeamNC_TeamA1,13,left
103,1903_11_TeamNC_TeamA1,52,left
104,1903_11_TeamNC_TeamA1,59,left
105,1903_11_TeamNC_TeamA1,90,left
106,1903_11_TeamNC_TeamA1,98,left
107,1903_11_TeamNC_TeamA1,110,left
108,1903_11_TeamNC_TeamA1,139,left
109,1903_11_TeamNC_TeamA1,188,right
110,1903_11_TeamNC_TeamA1,193,left
111,1903_11_TeamNC_TeamA1,200,right
112,1903_11_TeamNC_TeamA1,207,left
113,1903_11_TeamNC_TeamA1,231,right
114,1903_11_TeamNC_TeamA1,240,left
115,1903_11_TeamNC_TeamA1,259,right
116,1903_11_TeamNC_TeamA1,263,right
117,1903_11_TeamNC_TeamA1,264,left
118,1900_07_TeamKL_TeamB,8,left
119,1900_07_TeamKL_TeamB,11,right
120,1900_07_TeamKL_TeamB,15,right
121,1900_07_TeamKL_TeamB,21,left
122,1900_07_TeamKL_TeamB,83,left
123,1900_07_TeamKL_TeamB,131,right
124,1900_07_TeamKL_TeamB,134,right
125,1900_07_TeamKL_TeamB,136,right
126,1900_07_TeamKL_TeamB,179,right
127,1900_07_TeamKL_TeamB,184,left
128,1900_07_TeamKL_TeamB,185,left
129,1902_13_TeamMD_TeamA2,17,left
130,1902_13_TeamMD_TeamA2,20,left
131,1902_13_TeamMD_TeamA2,38,left
132,1902_13_TeamMD_TeamA2,44,right
133,1902_13_TeamMD_TeamA2,88,right
134,1902_13_TeamMD_TeamA2,91,left
135,1902_13_TeamMD_TeamA2,108,right
136,1902_13_TeamMD_TeamA2,248,right
137,1902_13_TeamMD_TeamA2,264,right
138,1902_13_TeamMD_TeamA2,318,left
139,1903_17_TeamNI_TeamA3,6,right
140,1903_17_TeamNI_TeamA3,43,right
141,1903_17_TeamNI_TeamA3,76,left
142,1903_17_TeamNI_TeamA3,84,right
143,1903_17_TeamNI_TeamA3,98,right
144,1903_17_TeamNI_TeamA3,109,right
145,1903_17_TeamNI_TeamA3,121,left
146,1903_17_TeamNI_TeamA3,138,left
147,1903_17_TeamNI_TeamA3,173,right
148,1903_17_TeamNI_TeamA3,193,left
149,1903_17_TeamNI_TeamA3,203,left
150,1903_17_TeamNI_TeamA3,228,right
151,1903_17_TeamNI_TeamA3,235,left
152,1903_17_TeamNI_TeamA3,237,right
153,1903_17_TeamNI_TeamA3,255,left
154,1903_27_TeamNK_TeamB,3,right
155,1903_27_TeamNK_TeamB,102,right
156,1903_27_TeamNK_TeamB,123,right
157,1903_27_TeamNK_TeamB,135,left
158,1903_27_TeamNK_TeamB,139,left
159,1903_27_TeamNK_TeamB,247,right
160,1903_27_TeamNK_TeamB,273,left
161,1901_12_TeamLJ_TeamB,23,left
162,1901_12_TeamLJ_TeamB,58,left
163,1901_12_TeamLJ_TeamB,83,left
164,1901_12_TeamLJ_TeamB,110,left
165,1901_12_TeamLJ_TeamB,139,right
166,1901_12_TeamLJ_TeamB,263,right
167,1901_12_TeamLJ_TeamB,268,right
168,1901_12_TeamLJ_TeamB,269,left
169,1902_03_TeamMG_TeamA3,15,left
170,1902_03_TeamMG_TeamA3,16,right
171,1902_03_TeamMG_TeamA3,24,right
172,1902_03_TeamMG_TeamA3,28,left
173,1902_03_TeamMG_TeamA3,53,right
174,1902_03_TeamMG_TeamA3,99,right
175,1902_03_TeamMG_TeamA3,102,right
176,1902_03_TeamMG_TeamA3,106,right
177,1902_03_TeamMG_TeamA3,122,right
178,1902_03_TeamMG_TeamA3,126,right
179,1902_03_TeamMG_TeamA3,137,left
180,1902_03_TeamMG_TeamA3,146,left
181,1902_03_TeamMG_TeamA3,230,left
182,1902_03_TeamMG_TeamA3,321,left
183,1900_09_TeamKK_TeamB,35,left
184,1900_09_TeamKK_TeamB,91,right
185,1900_09_TeamKK_TeamB,137,left
186,1900_09_TeamKK_TeamB,160,left
187,1900_09_TeamKK_TeamB,170,right
188,1901_01_TeamLG_TeamA3,21,right
189,1901_01_TeamLG_TeamA3,26,left
190,1901_01_TeamLG_TeamA3,28,right
191,1901_01_TeamLG_TeamA3,43,right
192,1901_01_TeamLG_TeamA3,72,right
193,1901_01_TeamLG_TeamA3,103,right
194,1901_01_TeamLG_TeamA3,119,right
195,1901_01_TeamLG_TeamA3,167,left
196,1901_01_TeamLG_TeamA3,176,right
197,1901_01_TeamLG_TeamA3,223,right
198,1901_01_TeamLG_TeamA3,235,left
199,1901_01_TeamLG_TeamA3,241,left
200,1900_03_TeamKJ_TeamB,137,left
201,1903_22_TeamNA_TeamA1,4,left
202,1903_22_TeamNA_TeamA1,20,left
203,1903_22_TeamNA_TeamA1,52,left
204,1903_22_TeamNA_TeamA1,75,left
205,1903_22_TeamNA_TeamA1,76,left
206,1903_22_TeamNA_TeamA1,135,left
207,1903_22_TeamNA_TeamA1,152,right
208,1903_22_TeamNA_TeamA1,225,right
209,1903_22_TeamNA_TeamA1,246,left
210,1902_16_TeamMD_TeamA2,3,left
211,1902_16_TeamMD_TeamA2,24,right
212,1902_16_TeamMD_TeamA2,37,left
213,1902_16_TeamMD_TeamA2,77,right
214,1902_16_TeamMD_TeamA2,80,left
215,1902_16_TeamMD_TeamA2,83,right
216,1902_16_TeamMD_TeamA2,84,left
217,1902_16_TeamMD_TeamA2,90,right
218,1902_16_TeamMD_TeamA2,112,left
219,1902_16_TeamMD_TeamA2,116,left
220,1902_16_TeamMD_TeamA2,127,left
221,1902_16_TeamMD_TeamA2,131,right
222,1902_16_TeamMD_TeamA2,146,right
223,1902_16_TeamMD_TeamA2,149,left
224,1902_16_TeamMD_TeamA2,173,right
225,1902_16_TeamMD_TeamA2,179,right
226,1902_16_TeamMD_TeamA2,187,left
227,1902_16_TeamMD_TeamA2,189,right
228,1902_16_TeamMD_TeamA2,205,left
229,1902_16_TeamMD_TeamA2,237,right
230,1902_16_TeamMD_TeamA2,244,right
231,1903_32_TeamNB_TeamA1,3,left
232,1903_32_TeamNB_TeamA1,18,left
233,1903_32_TeamNB_TeamA1,38,right
234,1903_32_TeamNB_TeamA1,39,left
235,1903_32_TeamNB_TeamA1,42,right
236,1903_32_TeamNB_TeamA1,54,left
237,1903_32_TeamNB_TeamA1,58,right
238,1903_32_TeamNB_TeamA1,74,right
239,1903_32_TeamNB_TeamA1,76,right
240,1903_32_TeamNB_TeamA1,80,right
241,1903_32_TeamNB_TeamA1,84,right
242,1903_32_TeamNB_TeamA1,101,left
243,1903_32_TeamNB_TeamA1,129,left
244,1903_32_TeamNB_TeamA1,132,right
245,1903_32_TeamNB_TeamA1,144,right
246,1901_07_TeamLK_TeamB,6,right
247,1901_07_TeamLK_TeamB,24,right
248,1901_07_TeamLK_TeamB,38,right
249,1901_07_TeamLK_TeamB,53,right
250,1901_07_TeamLK_TeamB,54,left
251,1901_07_TeamLK_TeamB,66,right
252,1901_07_TeamLK_TeamB,125,right
253,1901_07_TeamLK_TeamB,164,right
254,1901_07_TeamLK_TeamB,182,right
255,1901_07_TeamLK_TeamB,194,left
256,1901_07_TeamLK_TeamB,249,right
257,1902_23_TeamMA_TeamA1,3,left
258,1902_23_TeamMA_TeamA1,6,left
259,1902_23_TeamMA_TeamA1,31,right
260,1902_23_TeamMA_TeamA1,39,right
261,1902_23_TeamMA_TeamA1,130,left
262,1902_23_TeamMA_TeamA1,143,left
263,1902_23_TeamMA_TeamA1,152,left
264,1902_23_TeamMA_TeamA1,221,left
265,1902_23_TeamMA_TeamA1,222,left
266,1902_23_TeamMA_TeamA1,255,left
267,1902_15_TeamMK_TeamB,24,right
268,1902_15_TeamMK_TeamB,40,left
269,1902_15_TeamMK_TeamB,53,left
270,1902_15_TeamMK_TeamB,93,right
271,1902_15_TeamMK_TeamB,99,right
272,1902_15_TeamMK_TeamB,127,left
273,1902_15_TeamMK_TeamB,183,right
274,1902_15_TeamMK_TeamB,191,right
275,1902_15_TeamMK_TeamB,209,right
276,1902_15_TeamMK_TeamB,215,left
277,1902_15_TeamMK_TeamB,257,left
278,1902_15_TeamMK_TeamB,261,left
279,1902_04_TeamML_TeamB,15,left
280,1902_04_TeamML_TeamB,39,left
281,1902_04_TeamML_TeamB,40,right
282,1902_04_TeamML_TeamB,43,right
283,1902_04_TeamML_TeamB,53,right
284,1902_04_TeamML_TeamB,93,right
285,1902_04_TeamML_TeamB,104,right
286,1902_04_TeamML_TeamB,109,right
287,1902_04_TeamML_TeamB,110,right
288,1902_04_TeamML_TeamB,135,right
289,1902_04_TeamML_TeamB,140,right
290,1902_04_TeamML_TeamB,158,right
291,1902_04_TeamML_TeamB,165,left
292,1902_04_TeamML_TeamB,192,right
293,1902_04_TeamML_TeamB,205,right
294,1902_04_TeamML_TeamB,275,right
295,1903_24_TeamNA_TeamA1,10,left
296,1903_24_TeamNA_TeamA1,60,left
297,1903_24_TeamNA_TeamA1,108,right
298,1903_24_TeamNA_TeamA1,123,right
299,1903_24_TeamNA_TeamA1,142,left
300,1903_24_TeamNA_TeamA1,147,left
301,1903_24_TeamNA_TeamA1,148,left
302,1903_24_TeamNA_TeamA1,156,right
303,1903_24_TeamNA_TeamA1,168,right
304,1903_24_TeamNA_TeamA1,203,left
305,1903_24_TeamNA_TeamA1,206,left
306,1903_24_TeamNA_TeamA1,207,right
307,1903_03_TeamNE_TeamA2,3,right
308,1903_03_TeamNE_TeamA2,23,left
309,1903_03_TeamNE_TeamA2,33,left
