,game_event_index,Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,bounce_1,bounce_2,bounce_3,num_bounces
0,1737,1737,1903_16_TeamNI_TeamA3,121,35.0,122,3763018,3,2,3761718,3762518.0,,2
1,1750,1750,1903_16_TeamNI_TeamA3,124,36.0,125,3840368,3,2,3839168,3839718.0,3840068.0,3
2,2526,2526,1902_02_TeamMG_TeamA3,43,10.0,43,1395969,3,2,1394319,1395869.0,,2
3,4374,4374,1903_08_TeamNJ_TeamB,171,52.0,172,6068717,3,2,6067067,6068317.0,,2
4,6101,6101,1903_23_TeamNA_TeamA1,124,34.0,128,3935444,3,2,3934794,3935194.0,,2
5,6363,6363,1903_23_TeamNA_TeamA1,196,48.0,201,6198894,3,2,6197944,,,1
6,6453,6453,1903_23_TeamNA_TeamA1,221,55.0,227,7021594,3,2,7021094,,,1
7,7162,7162,1902_19_TeamME_TeamA2,143,30.0,143,5017052,3,2,5014452,5015602.0,5016252.0,4
8,7290,7290,1902_19_TeamME_TeamA2,179,38.0,179,6401652,3,2,6400302,6401052.0,,2
9,8280,8280,1901_08_TeamLK_TeamB,150,,150,5120488,3,2,5119988,,,1
10,8472,8472,1901_08_TeamLK_TeamB,200,,201,7304836,3,2,7303636,7304436.0,,2
11,9256,9256,1902_22_TeamMA_TeamA1,151,42.0,151,5418140,3,2,5417390,5418040.0,,2
12,9574,9574,1902_22_TeamMA_TeamA1,226,66.0,226,8113090,3,2,8111790,8112490.0,8112890.0,3
13,9799,9799,1902_12_TeamMI_TeamA3,24,7.0,24,663354,3,2,661704,,,1
14,10370,10370,1902_12_TeamMI_TeamA3,178,46.0,178,6289504,3,2,6287754,,,1
15,10764,10764,1903_11_TeamNC_TeamA1,13,4.0,13,394300,3,2,393200,393700.0,394150.0,3
16,11315,11315,1903_11_TeamNC_TeamA1,139,40.0,140,10109036,3,2,10106686,10108586.0,,2
17,11610,11610,1903_11_TeamNC_TeamA1,207,64.0,208,12560786,3,2,12559336,12560036.0,12560486.0,4
18,11734,11734,1903_11_TeamNC_TeamA1,240,74.0,242,13678686,3,2,13677036,13677436.0,13677736.0,4
19,12375,12375,1900_07_TeamKL_TeamB,136,,136,4362052,3,2,4361590,,,1
20,12535,12535,1900_07_TeamKL_TeamB,179,,179,6210469,3,2,6209314,,,1
21,12553,12553,1900_07_TeamKL_TeamB,184,,184,6425299,3,2,6424078,,,1
22,12801,12801,1902_13_TeamMD_TeamA2,38,15.0,38,1476980,3,2,1474630,1475430.0,1475880.0,7
23,14140,14140,1903_17_TeamNI_TeamA3,76,22.0,76,2522783,3,2,2521383,2521683.0,2522333.0,4
24,14562,14562,1903_17_TeamNI_TeamA3,173,51.0,173,6139413,3,2,6138813,6139113.0,,2
25,16038,16038,1901_12_TeamLJ_TeamB,23,,23,562813,3,2,561913,562263.0,,2
26,16360,16360,1901_12_TeamLJ_TeamB,110,,110,3743643,3,2,3742093,3743193.0,,2
27,17089,17089,1902_03_TeamMG_TeamA3,28,9.0,28,963296,3,2,961446,,,1
28,17545,17545,1902_03_TeamMG_TeamA3,146,40.0,146,4773946,3,2,4772296,4772746.0,4773096.0,6
29,18753,18753,1900_09_TeamKK_TeamB,137,,140,4841978,3,2,4840889,,,1
30,19802,19802,1901_01_TeamLG_TeamA3,167,,167,5564072,3,2,5563872,,,1
31,20593,20593,1900_03_TeamKJ_TeamB,137,,137,5629596,3,2,5628936,,,1
32,21174,21174,1903_22_TeamNA_TeamA1,75,18.0,76,1998113,3,2,1996863,1997563.0,,2
33,21906,21906,1902_16_TeamMD_TeamA2,3,1.0,3,78956,3,2,78556,,,1
34,22040,22040,1902_16_TeamMD_TeamA2,37,12.0,37,1303473,3,2,1302073,1302873.0,,2
35,22201,22201,1902_16_TeamMD_TeamA2,80,20.0,80,2651051,3,2,2649651,2650051.0,2650451.0,4
36,22341,22341,1902_16_TeamMD_TeamA2,116,32.0,116,4067116,3,2,4065916,4066616.0,,2
37,22551,22551,1902_16_TeamMD_TeamA2,173,45.0,173,5782066,3,2,5780566,,,1
38,22609,22609,1902_16_TeamMD_TeamA2,187,49.0,187,6275316,3,2,6273716,,,1
39,23050,23050,1903_32_TeamNB_TeamA1,38,13.0,39,1076388,3,2,1075188,1075788.0,,2
40,23310,23310,1903_32_TeamNB_TeamA1,101,35.0,104,3230977,3,2,3229427,3230527.0,,2
41,23419,23419,1903_32_TeamNB_TeamA1,129,44.0,132,4168777,3,2,4168127,4168627.0,,2
42,25046,25046,1902_23_TeamMA_TeamA1,143,39.0,143,4846088,3,2,4844888,4845488.0,,2
43,26425,26425,1902_15_TeamMK_TeamB,215,56.0,215,7431464,3,2,7429864,,,1
44,27799,27799,1902_04_TeamML_TeamB,275,78.0,275,9161884,3,2,9160134,,,1
45,27951,27951,1903_24_TeamNA_TeamA1,10,5.0,10,393969,3,2,392569,393369.0,,2
46,28500,28500,1903_24_TeamNA_TeamA1,148,41.0,148,4610019,3,2,4608569,4609369.0,,2
47,28734,28734,1903_24_TeamNA_TeamA1,203,59.0,203,6643619,3,2,6641669,6643069.0,,2
48,28748,28748,1903_24_TeamNA_TeamA1,206,60.0,206,6708519,3,2,6705719,6707019.0,6707819.0,4
49,28818,28818,1903_03_TeamNE_TeamA2,3,1.0,3,28528,3,2,28128,,,1
50,28890,28890,1903_03_TeamNE_TeamA2,23,6.0,23,579528,3,2,578678,579178.0,579428.0,3
