,Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
32768,32768,1903_19_TeamNL_TeamB,194,53.0,198,6681101,255,16
16384,16384,1901_12_TeamLJ_TeamB,115,,115,4006893,255,16
32769,32769,1903_19_TeamNL_TeamB,194,53.0,198,6681401,5,2
16394,16394,1901_12_TeamLJ_TeamB,117,,117,4064793,255,16
98325,98325,1903_06_TeamND_TeamA2,56,17.0,57,1682174,255,16
98326,98326,1903_06_TeamND_TeamA2,56,17.0,57,1683574,255,16
81943,81943,1902_25_TeamMH_TeamA3,268,65.0,269,8704847,255,16
81944,81944,1902_25_TeamMH_TeamA3,268,65.0,269,8705847,255,16
98327,98327,1903_06_TeamND_TeamA2,56,17.0,57,1684024,3,2
65562,65562,1903_18_TeamNI_TeamA3,79,23.0,79,2452231,255,16
65563,65563,1903_18_TeamNI_TeamA3,79,23.0,79,2452731,255,16
65564,65564,1903_18_TeamNI_TeamA3,79,23.0,79,2453131,255,16
29,29,1903_01_TeamNE_TeamA2,10,2.0,10,177368,255,16
30,30,1903_01_TeamNE_TeamA2,10,2.0,10,178457,255,16
65565,65565,1903_18_TeamNI_TeamA3,79,23.0,79,2453331,255,16
49181,49181,1902_05_TeamML_TeamB,25,6.0,25,821029,255,16
16416,16416,1901_12_TeamLJ_TeamB,123,,123,4222193,255,16
16417,16417,1901_12_TeamLJ_TeamB,123,,123,4222843,255,16
16418,16418,1901_12_TeamLJ_TeamB,123,,123,4223393,255,16
16419,16419,1901_12_TeamLJ_TeamB,123,,123,4223793,255,16
32805,32805,1903_19_TeamNL_TeamB,205,55.0,209,7043651,255,16
32806,32806,1903_19_TeamNL_TeamB,205,55.0,209,7044251,255,16
32807,32807,1903_19_TeamNL_TeamB,205,55.0,209,7044701,255,16
65575,65575,1903_18_TeamNI_TeamA3,81,24.0,81,2497731,255,16
65576,65576,1903_18_TeamNI_TeamA3,81,24.0,81,2499031,255,16
65577,65577,1903_18_TeamNI_TeamA3,81,24.0,81,2499731,255,16
49198,49198,1902_05_TeamML_TeamB,29,7.0,29,919679,255,16
49199,49199,1902_05_TeamML_TeamB,29,7.0,29,920379,255,16
32816,32816,1903_19_TeamNL_TeamB,206,56.0,210,7091851,255,16
32817,32817,1903_19_TeamNL_TeamB,206,56.0,210,7093101,255,16
32818,32818,1903_19_TeamNL_TeamB,206,56.0,210,7093551,255,16
32819,32819,1903_19_TeamNL_TeamB,206,56.0,210,7093851,255,16
49200,49200,1902_05_TeamML_TeamB,29,7.0,29,920879,255,16
49201,49201,1902_05_TeamML_TeamB,29,7.0,29,921279,255,16
98358,98358,1903_06_TeamND_TeamA2,66,19.0,68,1992774,255,16
98359,98359,1903_06_TeamND_TeamA2,66,19.0,68,1993924,255,16
98360,98360,1903_06_TeamND_TeamA2,66,19.0,68,1994524,255,16
98361,98361,1903_06_TeamND_TeamA2,66,19.0,68,1994824,255,16
98362,98362,1903_06_TeamND_TeamA2,66,19.0,68,1995074,255,16
98363,98363,1903_06_TeamND_TeamA2,66,19.0,68,1995274,255,16
61,61,1903_01_TeamNE_TeamA2,18,4.0,18,458529,255,16
62,62,1903_01_TeamNE_TeamA2,18,4.0,18,459255,255,16
63,63,1903_01_TeamNE_TeamA2,18,4.0,18,459816,255,16
64,64,1903_01_TeamNE_TeamA2,18,4.0,18,460212,6,2
98371,98371,1903_06_TeamND_TeamA2,68,20.0,70,2054874,255,16
98372,98372,1903_06_TeamND_TeamA2,68,20.0,70,2055524,255,16
81992,81992,1902_25_TeamMH_TeamA3,281,67.0,282,9190597,255,16
49226,49226,1902_05_TeamML_TeamB,36,8.0,36,1131829,255,16
49227,49227,1902_05_TeamML_TeamB,36,8.0,36,1133079,255,16
49228,49228,1902_05_TeamML_TeamB,36,8.0,36,1133729,255,16
49229,49229,1902_05_TeamML_TeamB,36,8.0,36,1134229,3,2
88,88,1903_01_TeamNE_TeamA2,25,6.0,25,613629,255,16
89,89,1903_01_TeamNE_TeamA2,25,6.0,25,614157,255,16
90,90,1903_01_TeamNE_TeamA2,25,6.0,25,614619,255,16
91,91,1903_01_TeamNE_TeamA2,25,6.0,25,614982,255,16
92,92,1903_01_TeamNE_TeamA2,25,6.0,25,615114,255,16
93,93,1903_01_TeamNE_TeamA2,25,6.0,25,615378,255,16
16477,16477,1901_12_TeamLJ_TeamB,139,,139,4808792,255,16
16478,16478,1901_12_TeamLJ_TeamB,139,,139,4809642,4,2
32865,32865,1903_19_TeamNL_TeamB,219,58.0,223,7442401,255,16
82020,82020,1902_25_TeamMH_TeamA3,289,68.0,290,9366047,255,16
49253,49253,1902_05_TeamML_TeamB,43,10.0,43,1361279,255,16
49254,49254,1902_05_TeamML_TeamB,43,10.0,43,1361729,255,16
49255,49255,1902_05_TeamML_TeamB,43,10.0,43,1362029,255,16
82021,82021,1902_25_TeamMH_TeamA3,289,68.0,290,9366547,255,16
