,game_event_index,Unnamed: 0,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
0,28,28,1903_01_TeamNE_TeamA2,10,2.0,10,177335,10,4
1,60,60,1903_01_TeamNE_TeamA2,18,4.0,18,458331,10,4
2,87,87,1903_01_TeamNE_TeamA2,25,6.0,25,612606,10,4
3,105,105,1903_01_TeamNE_TeamA2,28,7.0,28,711639,10,4
4,134,134,1903_01_TeamNE_TeamA2,36,8.0,36,1009761,10,4
5,145,145,1903_01_TeamNE_TeamA2,38,9.0,38,1091370,10,4
6,211,211,1903_01_TeamNE_TeamA2,58,13.0,58,1615048,10,4
7,250,250,1903_01_TeamNE_TeamA2,69,16.0,69,2004547,10,4
8,268,268,1903_01_TeamNE_TeamA2,73,17.0,73,2189050,10,4
9,302,302,1903_01_TeamNE_TeamA2,82,20.0,82,2564723,10,4
10,322,322,1903_01_TeamNE_TeamA2,87,22.0,87,2700386,10,4
11,413,413,1903_01_TeamNE_TeamA2,112,28.0,112,3483972,10,4
12,438,438,1903_01_TeamNE_TeamA2,117,29.0,117,3636234,10,4
13,449,449,1903_01_TeamNE_TeamA2,119,30.0,119,3792060,10,4
14,467,467,1903_01_TeamNE_TeamA2,123,31.0,123,3877860,10,4
15,477,477,1903_01_TeamNE_TeamA2,124,32.0,124,3910860,10,4
16,487,487,1903_01_TeamNE_TeamA2,125,33.0,125,4064607,10,4
17,527,527,1903_01_TeamNE_TeamA2,134,36.0,134,4380648,10,4
18,581,581,1903_01_TeamNE_TeamA2,149,39.0,149,4902775,10,4
19,628,628,1903_01_TeamNE_TeamA2,162,42.0,162,5417807,10,4
20,704,704,1903_01_TeamNE_TeamA2,184,46.0,184,5974946,10,4
21,713,713,1903_01_TeamNE_TeamA2,185,47.0,185,6118034,10,4
22,774,774,1903_01_TeamNE_TeamA2,203,51.0,203,6587922,10,4
23,782,782,1903_01_TeamNE_TeamA2,204,52.0,204,6632901,10,4
24,853,853,1903_01_TeamNE_TeamA2,223,58.0,224,7271583,10,4
25,882,882,1903_01_TeamNE_TeamA2,230,60.0,231,7467703,10,4
26,931,931,1903_01_TeamNE_TeamA2,242,63.0,243,7911289,10,4
27,965,965,1903_01_TeamNE_TeamA2,249,65.0,250,8137900,10,4
28,1011,1011,1903_01_TeamNE_TeamA2,260,68.0,261,8665802,10,4
29,1128,1128,1903_01_TeamNE_TeamA2,294,75.0,295,9807933,10,4
30,1187,1187,1903_01_TeamNE_TeamA2,310,78.0,311,10338540,10,4
31,1218,1218,1903_01_TeamNE_TeamA2,318,81.0,319,10698076,10,4
32,1251,1251,1903_01_TeamNE_TeamA2,326,84.0,327,10930099,10,4
33,1292,1292,1903_16_TeamNI_TeamA3,12,3.0,12,247068,10,4
34,1306,1306,1903_16_TeamNI_TeamA3,14,4.0,14,419418,10,4
35,1336,1336,1903_16_TeamNI_TeamA3,22,7.0,23,647368,10,4
36,1354,1354,1903_16_TeamNI_TeamA3,25,8.0,26,735918,10,4
37,1413,1413,1903_16_TeamNI_TeamA3,42,13.0,43,1218218,10,4
38,1441,1441,1903_16_TeamNI_TeamA3,46,15.0,47,1344818,10,4
39,1468,1468,1903_16_TeamNI_TeamA3,54,17.0,55,1654168,10,4
40,1509,1509,1903_16_TeamNI_TeamA3,63,20.0,64,1915218,10,4
41,1538,1538,1903_16_TeamNI_TeamA3,71,22.0,72,2210868,10,4
42,1590,1590,1903_16_TeamNI_TeamA3,82,25.0,83,2513618,10,4
43,1637,1637,1903_16_TeamNI_TeamA3,96,28.0,97,2968268,10,4
44,1691,1691,1903_16_TeamNI_TeamA3,111,32.0,112,3362718,10,4
45,1734,1734,1903_16_TeamNI_TeamA3,121,35.0,122,3761618,10,4
46,1746,1746,1903_16_TeamNI_TeamA3,124,36.0,125,3839018,10,4
47,1785,1785,1903_16_TeamNI_TeamA3,132,39.0,133,4228418,10,4
48,1829,1829,1903_16_TeamNI_TeamA3,141,42.0,142,4503718,10,4
49,1851,1851,1903_16_TeamNI_TeamA3,146,43.0,147,4717868,10,4
50,1858,1858,1903_16_TeamNI_TeamA3,147,44.0,148,4750718,10,4
51,1910,1910,1903_16_TeamNI_TeamA3,162,47.0,163,5178768,10,4
52,1962,1962,1903_16_TeamNI_TeamA3,177,50.0,178,5671768,10,4
53,1982,1982,1903_16_TeamNI_TeamA3,182,51.0,183,5775768,10,4
54,2007,2007,1903_16_TeamNI_TeamA3,188,53.0,189,5933018,10,4
55,2061,2061,1903_16_TeamNI_TeamA3,204,56.0,205,6477718,10,4
56,2116,2116,1903_16_TeamNI_TeamA3,219,59.0,220,6925468,10,4
57,2172,2172,1903_16_TeamNI_TeamA3,235,63.0,236,7443818,10,4
58,2186,2186,1903_16_TeamNI_TeamA3,237,64.0,238,7516068,10,4
59,2205,2205,1903_16_TeamNI_TeamA3,241,65.0,242,7625618,10,4
60,2278,2278,1903_16_TeamNI_TeamA3,262,69.0,263,8390371,10,4
61,2301,2301,1903_16_TeamNI_TeamA3,268,70.0,269,8533771,10,4
62,2331,2331,1903_16_TeamNI_TeamA3,276,73.0,277,8888821,10,4
63,2361,2361,1903_16_TeamNI_TeamA3,284,75.0,285,9083021,10,4
64,2523,2523,1902_02_TeamMG_TeamA3,43,10.0,43,1394269,10,4
65,2529,2529,1902_02_TeamMG_TeamA3,44,11.0,44,1429019,10,4
66,2557,2557,1902_02_TeamMG_TeamA3,51,13.0,51,1742619,10,4
67,2617,2617,1902_02_TeamMG_TeamA3,68,17.0,68,2181319,10,4
68,2658,2658,1902_02_TeamMG_TeamA3,79,20.0,79,2563069,10,4
69,2697,2697,1902_02_TeamMG_TeamA3,89,22.0,89,2941319,10,4
70,2785,2785,1902_02_TeamMG_TeamA3,114,27.0,114,3884269,10,4
71,2869,2869,1902_02_TeamMG_TeamA3,138,33.0,138,4881619,10,4
72,2881,2881,1902_02_TeamMG_TeamA3,140,34.0,140,4958269,10,4
73,2943,2943,1902_02_TeamMG_TeamA3,159,37.0,159,5464019,10,4
74,2956,2956,1902_02_TeamMG_TeamA3,161,38.0,161,5578569,10,4
75,3044,3044,1902_02_TeamMG_TeamA3,185,44.0,185,6355669,10,4
76,3071,3071,1902_02_TeamMG_TeamA3,192,,192,6637469,10,4
77,3144,3144,1902_02_TeamMG_TeamA3,215,51.0,215,7348319,10,4
78,3262,3262,1902_02_TeamMG_TeamA3,249,57.0,249,8586969,10,4
79,3324,3324,1902_02_TeamMG_TeamA3,266,61.0,266,9039869,10,4
80,3384,3384,1902_02_TeamMG_TeamA3,283,65.0,283,9630969,10,4
81,3433,3433,1902_02_TeamMG_TeamA3,296,68.0,296,10140069,10,4
82,3455,3455,1902_02_TeamMG_TeamA3,302,70.0,302,10306119,10,4
83,3494,3494,1902_02_TeamMG_TeamA3,313,72.0,313,10707769,10,4
84,3516,3516,1902_02_TeamMG_TeamA3,318,73.0,318,10839169,10,4
85,3581,3581,1902_02_TeamMG_TeamA3,337,78.0,337,11513169,10,4
86,3603,3603,1902_02_TeamMG_TeamA3,341,80.0,341,11639069,10,4
87,3635,3635,1902_02_TeamMG_TeamA3,350,82.0,350,11942619,10,4
88,3653,3653,1902_02_TeamMG_TeamA3,353,83.0,353,12060969,10,4
89,3660,3660,1902_02_TeamMG_TeamA3,354,84.0,354,12106219,10,4
90,3671,3671,1902_02_TeamMG_TeamA3,356,85.0,356,12276419,10,4
91,3684,3684,1902_02_TeamMG_TeamA3,358,86.0,358,12324019,10,4
92,3715,3715,1903_08_TeamNJ_TeamB,4,1.0,4,78617,10,4
93,3737,3737,1903_08_TeamNJ_TeamB,7,2.0,7,198067,10,4
